Fold,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_MCC,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_MCC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_MCC,Training_Time,Val_Accuracy_Epoch,Learning_Rate,batch_size,adaptive_method
4,0.999629252,0.999736744,0.999302258,0.999519165,0.999429454,0.999473153,0.999682248,0.998975184,0.999327868,0.999185986,0.999565355,0.999714796,0.999152106,0.999432807,0.999330894,138.8665535,0.999912202,0.01,128,FixedL1
5,0.999248748,0.998673438,0.999388341,0.99902964,0.998843606,0.999121921,0.998585778,0.999281708,0.998932421,0.998655778,0.99913071,0.998492926,0.999335357,0.998912662,0.998662838,231.1131356,0.999560952,0.01,128,FixedL1
6,0.999882922,0.999856336,0.999805024,0.999830621,0.999819763,0.999824384,0.999784017,0.999702911,0.999743329,0.999729642,0.999920974,0.999932498,0.999855891,0.999894181,0.999878329,154.5740905,1,0.01,128,FixedL1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,152.8691206,1,0.01,128,FixedL1
8,0.999365826,0.998954744,0.999362364,0.999157802,0.999024695,0.999341441,0.998838964,0.999474174,0.999155495,0.998981061,0.999565355,0.999271648,0.999591151,0.999431174,0.999331025,116.859709,0.999956071,0.01,128,FixedL1
9,0.999892679,0.999941137,0.999791139,0.999866098,0.99983479,0.999956094,0.999978935,0.999910905,0.999944912,0.99993233,0.999841947,0.99992407,0.999687207,0.999805535,0.999756674,100.0570703,0.999956071,0.01,128,FixedL1
10,0.997995044,0.997009551,0.99637241,0.996683186,0.996914607,0.998331577,0.997549938,0.997077053,0.997309918,0.997433405,0.998261419,0.997437976,0.996862006,0.997144236,0.99732448,109.8738265,0.999209702,0.01,128,FixedL1
1,0.999302408,0.998885789,0.998901137,0.998892379,0.998926336,0.999429249,0.99908632,0.999014147,0.999048794,0.999121352,0.999367789,0.999021399,0.998921495,0.998970519,0.999026855,131.6946971,0.999429226,0.01,128,FixedL2
2,0.999253626,0.998930069,0.998774373,0.998851454,0.99885135,0.999253633,0.998904682,0.998764458,0.998833346,0.998847876,0.999328276,0.998951324,0.998831283,0.998890047,0.998966058,112.9068339,0.999253631,0.01,128,FixedL2
3,0.999434121,0.999181972,0.999226673,0.999204123,0.999128379,0.999517057,0.999291803,0.999452964,0.999372194,0.999260782,0.999486328,0.999228334,0.999328622,0.999278343,0.999209291,146.1468952,0.999517083,0.01,128,FixedL2
