Fold,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_MCC,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_MCC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_MCC,Training_Time,Val_Accuracy_Epoch,Learning_Rate,batch_size,adaptive_method
9,0.998674717,0.998579701,0.998635024,0.998604179,0.998204667,0.998232435,0.997957892,0.998301928,0.998125459,0.997598498,0.998807631,0.998745819,0.998758278,0.998748926,0.99838433,19.59640431,0.998232424,0.01,128,FixedL1
10,0.998871055,0.999096912,0.998542402,0.998817668,0.998469515,0.999558109,0.999551971,0.999548736,0.999549949,0.999400081,0.998807631,0.999004026,0.998495233,0.998747763,0.998383203,15.43162942,1,0.01,128,FixedL1
1,0.998183782,0.998111845,0.997815735,0.997961399,0.997537912,0.999558304,0.999536178,0.999360614,0.999447771,0.999399153,0.999602544,0.999580537,0.999457701,0.999518648,0.999460998,14.15339327,0.99955833,0.01,128,FixedL2
2,0.999852739,0.99984375,0.999814494,0.999829077,0.999800173,1,1,1,1,1,1,1,1,1,1,20.65981245,1,0.01,128,FixedL2
3,0.997594738,0.997477413,0.996851084,0.997154122,0.996740833,0.998674912,0.99860681,0.998343974,0.998473541,0.998203915,0.998410175,0.998330495,0.997952934,0.998138187,0.997844505,14.16998768,0.99955833,0.01,128,FixedL2
4,0.997103868,0.99639691,0.997385495,0.996885541,0.996079827,0.999116608,0.998730964,0.999390244,0.999058617,0.998792576,0.998410175,0.99807788,0.998331289,0.998203541,0.997844296,15.59275055,0.9991166,0.01,128,FixedL2
5,0.997447477,0.997411358,0.996747689,0.997072538,0.996540873,0.996908127,0.996924063,0.995695518,0.996292104,0.995797068,0.998807631,0.998870764,0.998373102,0.99861849,0.998383673,13.90828824,0.996908128,0.01,128,FixedL2
6,0.998331043,0.998395136,0.998029435,0.998210197,0.997734277,0.999116608,0.999197864,0.998989822,0.999092999,0.99881211,0.997615262,0.997891307,0.997112598,0.99749541,0.99676783,15.71481848,1,0.01,128,FixedL2
7,0.998723801,0.998874893,0.998361998,0.99861603,0.998269486,0.998674326,0.998887276,0.998387168,0.998635083,0.998203506,0.997615262,0.997624951,0.997259772,0.997433989,0.996769368,16.18646312,0.999116242,0.01,128,FixedL2
8,0.999018309,0.998783537,0.99915719,0.998969339,0.998668706,0.999558109,0.999518304,0.999553571,0.999535506,0.999401966,0.999602544,0.999458874,0.999707944,0.999583031,0.999461062,30.73240685,1,0.01,128,FixedL2
9,0.999656408,0.999625424,0.999623114,0.999624211,0.999534062,1,1,1,1,1,0.999602544,0.999586777,0.999579832,0.999582957,0.999461012,25.91826344,1,0.01,128,FixedL2
10,0.99656408,0.996396286,0.996024964,0.996194323,0.99534746,0.998232435,0.99820305,0.998250755,0.99822505,0.99760075,0.998807631,0.998745819,0.998623345,0.998681741,0.99838389,17.82405162,0.998232424,0.01,128,FixedL2
1,0.99739839,0.997346805,0.99714699,0.997237334,0.996477529,0.997349823,0.997569316,0.996862492,0.997207165,0.996397973,0.998012719,0.997932966,0.997777028,0.997850398,0.997306673,28.29311275,0.997791529,0.01,128,MLP
2,0.999067347,0.999041908,0.998952753,0.99899695,0.998734478,0.999116608,0.999042146,0.999100719,0.999069703,0.998806331,0.998807631,0.998752678,0.998745757,0.99874887,0.998382606,20.03875852,0.9991166,0.01,128,MLP
3,0.999803652,0.999809984,0.999762059,0.999785989,0.999733638,0.999116608,0.999070629,0.998939213,0.999004351,0.998802382,1,1,1,1,1,17.80061507,0.9991166,0.01,128,MLP
4,0.99901826,0.999049076,0.99878814,0.998917767,0.998669596,1,1,1,1,1,0.999205087,0.999288822,0.998915401,0.999100671,0.998922123,24.17520595,1,0.01,128,MLP
5,0.998920086,0.998961416,0.998668046,0.998814131,0.998535797,0.999116608,0.999041329,0.998892449,0.998966568,0.998797815,0.999205087,0.999417249,0.998915401,0.999164806,0.998922285,20.68812394,0.99955833,0.01,128,MLP
6,0.997938347,0.998048549,0.997566867,0.997804904,0.997201283,0.999116608,0.999197059,0.998990629,0.999093001,0.99881211,0.998807631,0.998744638,0.998495233,0.998619557,0.998382476,16.8436482,0.9991166,0.01,128,MLP
7,0.997251264,0.99729191,0.996266348,0.996762019,0.996276976,0.998674326,0.998590226,0.998314607,0.998447573,0.998204754,0.998012719,0.998163069,0.997288503,0.997716477,0.997307399,25.48274398,0.998674333,0.01,128,MLP
8,0.997349433,0.997419147,0.996855829,0.997135514,0.996404065,0.998232435,0.998258141,0.998141892,0.998199709,0.99760692,0.998410175,0.998453603,0.998081326,0.998266659,0.997843546,15.04102778,0.998232424,0.01,128,MLP
9,0.993619006,0.993269723,0.992945729,0.993076815,0.991364688,0.990278392,0.989482598,0.98902151,0.989208726,0.986800932,0.992845787,0.992296176,0.991960411,0.992103727,0.990308587,22.87744451,0.990278363,0.01,128,MLP
10,0.999607323,0.999527421,0.999554421,0.999540849,0.999467398,0.999116217,0.998910946,0.999097473,0.999002781,0.99880048,0.999602544,0.999458874,0.999579832,0.999518883,0.999461028,21.32676029,0.999116242,0.01,128,MLP
1,0.999410956,0.999425806,0.999352766,0.999389089,0.999201289,0.999558304,0.999536178,0.999548736,0.999542038,0.999399178,0.999602544,0.999580537,0.999586093,0.999582967,0.999461014,21.42440891,0.99955833,0.01,128,Novel
2,0.998527391,0.998545248,0.998165362,0.998353593,0.998002007,0.999116608,0.999070513,0.998975647,0.999022519,0.998805491,0.998807631,0.998874894,0.998495233,0.998683628,0.998382857,17.12097645,1,0.01,128,Novel
3,0.997005694,0.996798404,0.996953758,0.99686776,0.995943206,0.999116608,0.999072356,0.999070632,0.999069767,0.998803213,0.996422893,0.996129001,0.996390425,0.996246896,0.995155546,23.61860418,1,0.01,128,Novel
4,0.998183782,0.998038393,0.998169851,0.998103723,0.997538713,0.999558304,0.999537893,0.999511719,0.999524353,0.999395866,0.998410175,0.998330495,0.998203177,0.9982647,0.997844255,19.73603964,0.99955833,0.01,128,Novel
5,0.994747693,0.995143146,0.993719677,0.994416095,0.992883403,0.992491166,0.993303424,0.990328985,0.991767966,0.989796019,0.997217806,0.997467464,0.99669243,0.997073899,0.996228825,18.97632337,0.992491186,0.01,128,Novel
6,0.99838013,0.998378434,0.998112381,0.998244164,0.997800722,0.999116608,0.998992687,0.999100719,0.999045379,0.998812485,0.998012719,0.998181665,0.997654897,0.997913639,0.997306315,22.81396747,1,0.01,128,Novel
